date,city_name,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain,clouds_all,broken clouds,overcast clouds,scattered clouds,sky is clear,few clouds,fog,light rain,mist,haze,moderate rain,heavy intensity rain,light intensity drizzle,drizzle,heavy intensity drizzle,very heavy rain,thunderstorm with heavy rain,thunderstorm with rain,thunderstorm,proximity shower rain,thunderstorm with light rain,shower rain,light intensity shower rain,light thunderstorm
2010-01-24,Kodagu,22.15,22.51,16.26,29.82,1013.42,76.42,1.19,167.29,0.0,16.21,3,0,3,12,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-24,Mysuru,22.89,22.43,16.88,28.94,1013.21,53.54,1.48,94.58,0.0,0.79,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-25,Hassan,20.13,20.01,14.65,25.6,1014.25,69.12,2.11,90.67,0.0,27.04,7,0,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-25,Kodagu,22.27,22.73,17.39,29.37,1013.17,80.29,1.2,147.25,0.0,34.04,5,2,4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-25,Mysuru,23.63,23.36,17.59,28.91,1013.38,56.58,2.09,98.5,0.0,19.92,3,0,1,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-26,Hassan,20.54,20.42,15.97,26.21,1014.96,66.71,2.5,82.58,0.0,10.38,0,0,3,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-26,Kodagu,22.74,23.06,17.93,30.07,1014.08,73.88,1.1,136.12,0.0,5.25,0,0,1,17,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-26,Mysuru,24.02,23.74,19.24,29.28,1014.5,55.08,2.19,83.46,0.0,4.08,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-27,Hassan,20.85,20.78,16.16,26.79,1015.12,67.75,2.53,85.62,0.0,33.04,5,3,3,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-27,Kodagu,22.9,23.15,17.79,30.68,1013.92,70.71,1.37,112.0,0.0,22.58,4,0,7,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-27,Mysuru,24.1,23.88,19.42,29.6,1014.5,57.04,2.16,76.42,0.0,20.21,3,0,5,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-28,Hassan,21.77,21.78,17.03,27.05,1015.25,66.96,2.51,106.71,0.0,61.21,9,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-28,Kodagu,23.68,24.08,18.62,31.2,1014.08,73.88,1.43,144.42,0.0,35.29,4,3,5,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-28,Mysuru,24.79,24.67,19.96,29.55,1014.83,57.46,2.56,88.5,0.0,68.0,14,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-29,Hassan,21.58,21.49,17.52,27.32,1015.54,63.25,2.81,76.5,0.0,12.62,1,0,2,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-29,Kodagu,23.89,24.19,18.61,31.29,1014.17,70.83,1.35,120.5,0.0,18.88,1,0,4,9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-29,Mysuru,24.65,24.37,19.33,29.45,1015.08,53.96,2.59,87.12,0.0,31.08,5,0,7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-30,Hassan,21.4,21.26,15.61,27.36,1015.42,63.67,2.28,108.42,0.0,24.5,4,0,6,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-30,Kodagu,24.07,24.35,18.71,31.66,1014.21,69.79,1.47,126.71,0.0,31.04,6,0,5,4,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-30,Mysuru,24.45,24.08,18.59,29.83,1014.96,53.71,2.17,86.92,0.0,51.79,12,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-31,Hassan,21.07,21.02,14.79,27.61,1015.42,67.58,1.87,116.08,0.0,42.83,7,4,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-31,Kodagu,23.42,23.84,17.97,31.04,1014.5,75.33,1.34,126.71,0.0,54.29,3,8,7,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
